,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,durg,IN,21.18,81.28,71.6,46.0,0.0,2.73,01/24/2020
1,marawi,PH,8.0,124.29,79.0,87.0,15.0,3.0,01/24/2020
2,ostrovnoy,RU,68.05,39.51,10.26,86.0,100.0,5.48,01/24/2020
3,zlotow,PL,53.36,17.04,39.2,82.0,75.0,11.41,01/24/2020
4,busselton,AU,-33.65,115.33,62.58,86.0,67.0,14.18,01/24/2020
5,punta arenas,CL,-53.15,-70.92,51.8,81.0,90.0,12.75,01/24/2020
6,vadlapudi,IN,14.32,79.8,71.87,75.0,66.0,4.52,01/24/2020
7,asau,RO,46.43,26.4,41.0,52.0,29.0,13.87,01/24/2020
8,avarua,CK,-21.21,-159.78,78.8,94.0,95.0,5.82,01/24/2020
9,buraydah,SA,26.33,43.98,64.4,18.0,0.0,11.41,01/24/2020
10,vanavara,RU,60.34,102.28,8.2,95.0,100.0,5.88,01/24/2020
11,cap malheureux,MU,-19.98,57.61,82.4,88.0,75.0,6.93,01/24/2020
12,new norfolk,AU,-42.78,147.06,62.6,51.0,100.0,12.75,01/24/2020
13,hualmay,PE,-11.1,-77.61,80.22,53.0,16.0,7.45,01/24/2020
14,bredasdorp,ZA,-34.53,20.04,78.01,64.0,0.0,9.17,01/24/2020
15,ranfurly,NZ,-45.13,170.1,60.01,87.0,70.0,6.35,01/24/2020
16,cape town,ZA,-33.93,18.42,87.01,57.0,0.0,14.99,01/24/2020
17,rikitea,PF,-23.12,-134.97,77.22,74.0,0.0,17.16,01/24/2020
18,kirkwall,GB,58.98,-2.96,44.6,81.0,20.0,12.75,01/24/2020
19,maracas,BR,-13.44,-40.43,69.53,94.0,100.0,5.14,01/24/2020
20,ponta do sol,PT,32.67,-17.1,64.4,55.0,40.0,5.82,01/24/2020
21,saint-augustin,CA,51.23,-58.65,4.19,71.0,0.0,18.37,01/24/2020
22,ushuaia,AR,-54.8,-68.3,50.0,71.0,90.0,5.82,01/24/2020
23,martapura,ID,-3.42,114.85,78.8,88.0,20.0,5.82,01/24/2020
24,aberdeen,GB,57.14,-2.1,46.99,70.0,40.0,3.36,01/24/2020
25,urumqi,CN,43.8,87.6,8.01,84.0,75.0,4.47,01/24/2020
26,ruidoso,US,33.33,-105.67,35.01,63.0,1.0,5.82,01/24/2020
27,mbour,SN,14.42,-16.96,95.0,19.0,0.0,8.05,01/24/2020
28,kimbe,PG,-5.55,150.14,76.66,91.0,65.0,1.59,01/24/2020
29,mar del plata,AR,-38.0,-57.56,93.0,43.0,0.0,23.04,01/24/2020
30,hasaki,JP,35.73,140.83,45.0,81.0,75.0,9.17,01/24/2020
33,chuy,UY,-33.7,-53.46,78.62,53.0,0.0,6.6,01/24/2020
34,tuatapere,NZ,-46.13,167.68,63.0,94.0,100.0,1.01,01/24/2020
35,taoudenni,ML,22.68,-3.98,87.73,11.0,100.0,8.32,01/24/2020
36,riachao do jacuipe,BR,-11.81,-39.39,75.2,87.0,100.0,4.97,01/24/2020
37,port alfred,ZA,-33.59,26.89,71.01,84.0,33.0,8.99,01/24/2020
38,ust-omchug,RU,61.15,149.63,-37.48,100.0,95.0,4.76,01/24/2020
39,victoria,HK,22.29,114.16,72.0,88.0,40.0,12.75,01/24/2020
40,beringovskiy,RU,63.05,179.32,-1.08,98.0,100.0,9.62,01/24/2020
41,tessalit,ML,20.2,1.01,89.6,6.0,100.0,10.31,01/24/2020
42,arraial do cabo,BR,-22.97,-42.03,73.4,94.0,90.0,4.7,01/24/2020
43,bethel,US,41.37,-73.41,41.0,80.0,75.0,2.26,01/24/2020
