,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,new norfolk,AU,-42.78,147.06,73.99,40.0,75.0,19.46,2020/01/24
1,busselton,AU,-33.65,115.33,88.0,28.0,0.0,5.37,2020/01/24
2,mataura,NZ,-46.19,168.86,66.99,62.0,72.0,8.01,2020/01/24
3,prince rupert,CA,54.32,-130.32,44.6,93.0,90.0,4.7,2020/01/24
4,kapaa,US,22.08,-159.32,78.8,73.0,90.0,12.75,2020/01/24
5,butaritari,KI,3.07,172.79,84.51,71.0,100.0,3.96,2020/01/24
6,punta arenas,CL,-53.15,-70.92,46.4,81.0,75.0,6.93,2020/01/24
7,rikitea,PF,-23.12,-134.97,78.58,76.0,43.0,13.42,2020/01/24
8,basco,PH,20.45,121.97,77.22,80.0,100.0,20.98,2020/01/24
10,albany,US,42.6,-73.97,36.0,55.0,1.0,5.82,2020/01/24
11,kanchanaburi,TH,14.63,99.1,81.03,34.0,100.0,3.29,2020/01/24
12,baracoa,CU,20.35,-74.5,74.89,63.0,12.0,4.52,2020/01/24
13,provideniya,RU,64.38,-173.3,-8.07,95.0,51.0,4.74,2020/01/24
14,nishihara,JP,26.18,127.76,78.8,69.0,40.0,11.41,2020/01/24
15,jamestown,US,42.1,-79.24,44.01,86.0,90.0,16.11,2020/01/24
17,huarmey,PE,-10.07,-78.15,74.5,65.0,100.0,2.19,2020/01/24
18,san cristobal,VE,7.77,-72.22,78.8,83.0,40.0,3.36,2020/01/24
19,key west,US,24.56,-81.78,73.4,83.0,90.0,3.36,2020/01/24
20,morro bay,US,35.37,-120.85,64.0,67.0,20.0,6.93,2020/01/24
21,bhusawal,IN,21.05,75.77,69.64,52.0,59.0,4.65,2020/01/24
22,lavrentiya,RU,65.58,-171.0,-15.86,80.0,0.0,3.11,2020/01/24
23,carnarvon,AU,-24.87,113.63,84.2,66.0,0.0,19.46,2020/01/24
24,damietta,EG,31.42,31.81,51.8,76.0,3.0,6.93,2020/01/24
25,tutoia,BR,-2.76,-42.27,76.14,94.0,60.0,4.29,2020/01/24
26,longyearbyen,SJ,78.22,15.64,1.4,49.0,20.0,18.34,2020/01/24
27,acajutla,SV,13.59,-89.83,70.0,97.0,1.0,6.71,2020/01/24
29,kruisfontein,ZA,-34.0,24.73,65.12,83.0,71.0,5.68,2020/01/24
30,airai,TL,-8.93,125.41,81.54,64.0,100.0,3.91,2020/01/24
31,ushuaia,AR,-54.8,-68.3,48.2,81.0,75.0,2.26,2020/01/24
32,kavieng,PG,-2.57,150.8,84.27,68.0,7.0,11.32,2020/01/24
33,constitucion,CL,-35.33,-72.42,57.33,63.0,0.0,5.99,2020/01/24
35,ribeira grande,PT,38.52,-28.7,57.09,87.0,100.0,15.19,2020/01/24
36,namtsy,RU,62.72,129.67,-49.0,56.0,90.0,4.47,2020/01/24
37,dryden,CA,49.78,-92.75,19.4,85.0,90.0,4.7,2020/01/24
38,lebu,CL,-37.62,-73.65,58.15,63.0,0.0,8.08,2020/01/24
39,hermanus,ZA,-34.42,19.23,64.99,96.0,0.0,1.32,2020/01/24
40,loukhi,RU,66.08,33.04,5.47,97.0,56.0,4.41,2020/01/24
41,mehamn,NO,71.04,27.85,25.52,79.0,100.0,21.7,2020/01/24
42,iquitos,PE,-3.75,-73.25,77.0,94.0,40.0,2.24,2020/01/24
43,qaanaaq,GL,77.48,-69.36,-7.33,47.0,3.0,8.75,2020/01/24
44,guerrero negro,MX,27.98,-114.06,62.02,76.0,100.0,11.12,2020/01/24
45,panaba,MX,21.28,-88.27,70.65,70.0,86.0,6.46,2020/01/24
46,harper,LR,4.38,-7.72,75.69,96.0,2.0,1.5,2020/01/24
47,hilo,US,19.73,-155.09,77.0,69.0,90.0,9.17,2020/01/24
48,mena,UA,51.52,32.22,32.36,95.0,100.0,13.04,2020/01/24
49,victoria,HK,22.29,114.16,75.0,73.0,40.0,10.29,2020/01/24
50,georgetown,MY,5.41,100.34,86.0,51.0,20.0,8.05,2020/01/24
52,tabou,CI,4.42,-7.35,75.69,96.0,2.0,1.5,2020/01/24
54,hambantota,LK,6.12,81.12,77.0,100.0,5.0,9.17,2020/01/24
55,hithadhoo,MV,-0.6,73.08,83.28,78.0,79.0,14.74,2020/01/24
56,mahebourg,MU,-20.41,57.7,80.01,100.0,75.0,18.34,2020/01/24
58,yellowknife,CA,62.46,-114.35,3.2,84.0,40.0,10.29,2020/01/24
59,vaini,TO,-21.2,-175.2,84.2,74.0,40.0,13.87,2020/01/24
60,koslan,RU,63.46,48.9,-0.94,98.0,100.0,4.83,2020/01/24
61,vostok,RU,46.49,135.88,-1.39,83.0,11.0,7.63,2020/01/24
62,tasiilaq,GL,65.61,-37.64,23.0,53.0,100.0,25.28,2020/01/24
63,upernavik,GL,72.79,-56.15,-11.85,95.0,100.0,5.57,2020/01/24
64,aklavik,CA,68.22,-135.01,-4.0,76.0,90.0,11.41,2020/01/24
65,diamantino,BR,-14.41,-56.45,73.24,82.0,20.0,3.78,2020/01/24
66,tuktoyaktuk,CA,69.45,-133.04,-2.2,77.0,90.0,9.17,2020/01/24
68,vawkavysk,BY,53.16,24.45,33.66,83.0,100.0,15.7,2020/01/24
69,bengkulu,ID,-3.8,102.27,75.9,93.0,100.0,3.49,2020/01/24
70,taraz,KZ,42.9,71.37,41.0,75.0,90.0,4.47,2020/01/24
71,nome,US,64.5,-165.41,-4.0,63.0,1.0,3.36,2020/01/24
72,kutulik,RU,53.35,102.78,10.04,89.0,100.0,7.81,2020/01/24
73,vestmannaeyjar,IS,63.44,-20.27,39.34,82.0,100.0,35.28,2020/01/24
74,castro,BR,-24.79,-50.01,56.61,98.0,1.0,4.47,2020/01/24
75,vagur,FO,61.47,-6.81,47.16,87.0,100.0,30.33,2020/01/24
76,dahuk,IQ,36.87,42.99,25.48,63.0,1.0,6.04,2020/01/24
77,malanje,AO,-9.54,16.34,63.57,98.0,100.0,3.62,2020/01/24
78,gazanjyk,TM,39.24,55.52,29.34,90.0,100.0,9.57,2020/01/24
79,ocos,GT,14.51,-92.19,77.0,94.0,20.0,2.24,2020/01/24
80,kieta,PG,-6.22,155.63,86.59,66.0,0.0,7.96,2020/01/24
81,marsh harbour,BS,26.54,-77.06,71.69,64.0,100.0,6.71,2020/01/24
82,khao yoi,TH,13.24,99.82,93.99,62.0,25.0,4.7,2020/01/24
84,mollendo,PE,-17.02,-72.01,69.6,83.0,99.0,4.61,2020/01/24
85,atuona,PF,-9.8,-139.03,80.96,77.0,0.0,12.8,2020/01/24
86,ambulu,ID,-8.35,113.61,81.19,76.0,77.0,2.48,2020/01/24
88,agadir,MA,30.42,-9.6,50.0,93.0,20.0,6.93,2020/01/24
90,tinde,TZ,-3.88,33.2,67.15,82.0,100.0,3.44,2020/01/24
91,koungou,YT,-12.73,45.2,78.8,94.0,67.0,3.36,2020/01/24
92,kingisepp,RU,59.37,28.61,35.06,88.0,100.0,14.34,2020/01/24
93,oriximina,BR,-1.77,-55.87,79.3,82.0,100.0,2.13,2020/01/24
94,havelock,US,34.88,-76.9,64.4,72.0,40.0,5.82,2020/01/24
96,sao felix do xingu,BR,-6.64,-51.99,72.52,93.0,100.0,1.68,2020/01/24
98,honningsvag,NO,70.98,25.97,30.38,68.0,100.0,25.03,2020/01/24
99,torbay,CA,47.67,-52.73,18.0,72.0,5.0,5.82,2020/01/24
100,namatanai,PG,-3.67,152.43,85.77,71.0,0.0,16.33,2020/01/24
101,kununurra,AU,-15.77,128.73,91.4,70.0,91.0,5.82,2020/01/24
